id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
60930392,64972117,25000.0,25000.0,25000.0, 36 months,13.33,846.33,C,C3,Research Specialist ,10+ years,RENT,80000.0,Source Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60930392,,debt_consolidation,Debt consolidation,432xx,OH,28.28,0.0,Oct-1997,0.0,,,25.0,0.0,36921.0,72.0,42.0,w,23275.12,23275.12,2520.48,2520.48,1724.88,795.6,0.0,0.0,0.0,Jan-2016,846.33,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,207581.0,,,,,,,,,,,,51300.0,,,
43649407,46666131,11200.0,11200.0,11200.0, 60 months,16.55,275.65,D,D2,Assistant manager,< 1 year,RENT,31500.0,Verified,Mar-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43649407,,debt_consolidation,Debt consolidation,933xx,CA,12.84,0.0,Sep-2003,1.0,,,12.0,0.0,3982.0,49.8,41.0,w,10047.21,10047.21,2470.55,2470.55,1152.79,1317.76,0.0,0.0,0.0,Dec-2015,275.65,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,23183.0,,,,,,,,,,,,8000.0,,,
62276884,66473639,6000.0,6000.0,6000.0, 36 months,12.69,201.27,C,C2,Office Manager,8 years,MORTGAGE,45000.0,Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62276884,,credit_card,Credit card refinancing,066xx,CT,25.04,0.0,Apr-1999,3.0,64.0,22.0,20.0,2.0,9940.0,56.0,40.0,w,5722.91,5722.91,425.8,425.8,277.09,148.71,0.0,0.0,0.0,Jan-2016,201.27,Jan-2016,Jan-2016,0.0,51.0,1.0,INDIVIDUAL,,,,0.0,0.0,22670.0,,,,,,,,,,,,17650.0,,,
26047394,28500374,10000.0,10000.0,10000.0, 60 months,12.99,227.48,C,C1,pvd operator,5 years,MORTGAGE,40000.0,Not Verified,Sep-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=26047394,,debt_consolidation,Debt consolidation,480xx,MI,16.41,1.0,May-2002,0.0,8.0,,15.0,0.0,7635.0,82.1,31.0,w,7929.33,7929.33,3639.68,3639.68,2070.67,1569.01,0.0,0.0,0.0,Jan-2016,227.48,Feb-2016,Jan-2016,0.0,24.0,1.0,INDIVIDUAL,,,,0.0,85.0,145506.0,,,,,,,,,,,,9300.0,,,
791801,996162,5000.0,5000.0,5000.0, 36 months,11.49,164.86,B,B4,Safebit Solutions Inc,5 years,RENT,75000.0,Not Verified,Jun-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=791801,"  Borrower added on 06/20/11 > Here is the situation. I have a newer 2006 Infinity vechicle. I still owe $18,800 on the car. I want to get out of this loan and sell the car. I will lose some money in the process. I expect possibly 1-2.5k to sell it. This loan will cover that cost. I want to use the rest of the loan to fix a 1995 modelJeep Cherokee that has a bad transmissions.<br/><br/>Over all this will downsize my overall debt significantly. Ive learned that having a newer car isnt as important to me as cutting my debt.<br/>",debt_consolidation,"Fix Jeep, Sell Infinity",770xx,TX,16.1,0.0,Jan-2005,1.0,,,6.0,0.0,5556.0,74.1,8.0,f,0.0,0.0,5814.6,5814.6,5000.0,814.6,0.0,0.0,0.0,Jul-2013,2037.77,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
56553011,60234745,24000.0,24000.0,24000.0, 36 months,16.55,850.31,D,D2,carrier,10+ years,RENT,58000.0,Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56553011,,car,Car financing,951xx,CA,8.07,0.0,Nov-1999,2.0,,80.0,13.0,1.0,3729.0,19.8,29.0,f,21330.83,21330.83,4229.48,4229.48,2669.17,1560.31,0.0,0.0,0.0,Jan-2016,850.31,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,20787.0,,,,,,,,,,,,18800.0,,,
65786126,70418926,5000.0,5000.0,5000.0, 36 months,10.64,162.85,B,B4,Store Manager,2 years,MORTGAGE,35000.0,Source Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65786126,,debt_consolidation,Debt consolidation,422xx,KY,7.54,0.0,Apr-2008,0.0,63.0,,7.0,0.0,3806.0,28.4,11.0,w,4881.48,4881.48,156.94,156.94,118.52,38.42,0.0,0.0,0.0,Dec-2015,162.85,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,3258.0,3806.0,,,,,,,,,,,,13400.0,,,
25998089,28450964,15000.0,15000.0,15000.0, 36 months,11.67,495.86,B,B4,Corporate Accountant,10+ years,RENT,62000.0,Not Verified,Sep-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=25998089,,credit_card,Credit card refinancing,816xx,CO,11.17,0.0,Jan-2003,0.0,,,12.0,0.0,19495.0,82.3,12.0,f,8972.67,8972.67,7933.76,7933.76,6027.33,1906.43,0.0,0.0,0.0,Jan-2016,495.86,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,19495.0,,,,,,,,,,,,23700.0,,,
62137149,66333916,15000.0,15000.0,15000.0, 60 months,23.99,431.44,F,F3,"Director,physical therapy",10+ years,RENT,112000.0,Source Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62137149,,debt_consolidation,Debt consolidation,064xx,CT,13.92,0.0,Jul-2004,0.0,60.0,52.0,7.0,2.0,8412.0,71.9,17.0,w,14734.24,14734.24,822.9,822.9,265.76,557.14,0.0,0.0,0.0,Dec-2015,431.44,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,57927.0,,,,,,,,,,,,11700.0,,,
10127210,11979104,16000.0,16000.0,16000.0, 36 months,16.24,564.42,C,C5,Associate Professor,7 years,RENT,100000.0,Source Verified,Dec-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10127210,,debt_consolidation,Credit Consolidation,062xx,CT,15.83,1.0,Nov-1998,1.0,10.0,,13.0,0.0,16381.0,47.8,21.0,w,6212.65,6212.65,13546.08,13546.08,9787.35,3758.73,0.0,0.0,0.0,Dec-2015,564.42,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,43510.0,,,,,,,,,,,,34300.0,,,
