Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
Research Specialist ,10+ years,,,,,64972117
Assistant manager,< 1 year,,,,,46666131
Office Manager,8 years,,,,64.0,66473639
pvd operator,5 years,,,,8.0,28500374
Safebit Solutions Inc,5 years,"  Borrower added on 06/20/11 > Here is the situation. I have a newer 2006 Infinity vechicle. I still owe $18,800 on the car. I want to get out of this loan and sell the car. I will lose some money in the process. I expect possibly 1-2.5k to sell it. This loan will cover that cost. I want to use the rest of the loan to fix a 1995 modelJeep Cherokee that has a bad transmissions.<br/><br/>Over all this will downsize my overall debt significantly. Ive learned that having a newer car isnt as important to me as cutting my debt.<br/>",,,,996162
carrier,10+ years,,,,,60234745
Store Manager,2 years,,,,63.0,70418926
Corporate Accountant,10+ years,,,,,28450964
"Director,physical therapy",10+ years,,,,60.0,66333916
Associate Professor,7 years,,,,10.0,11979104
Health Scientist,< 1 year,,,,48.0,43387337
Housekeeping Manager,3 years,,,,,58239238
Certified Veterinary Technician,10+ years,,,,11.0,11266933
Deputy Warden,10+ years,,,,,42383345
Maint Officer ,9 years,,,,24.0,59671391
auto body tech,10+ years,,,,10.0,41389485
Project Renewal,2 years,,,,,1741580
Deputy,10+ years,,,,39.0,61596409
Park Inc,< 1 year,,,,25.0,8126823
regence,10+ years,"  Borrower added on 10/02/11 > Refinance high rate credit cards with lower payments<br/> Borrower added on 10/02/11 > Refinance high rate credit cards with lower payment<br/> Borrower added on 10/03/11 > This will cut my interest and payments in half, never late<br/>null",,,,1196494
Supply Operator ,4 years,,,,49.0,45292523
,,,,,,69504297
windstream communications,5 years,  Borrower added on 06/28/13 > to pay off all my credit cards so I can  close those accounts<br>,,,7.0,7231113
teacher,10+ years,,,,,66812053
Director,10+ years,,,,,71131411
owner,10+ years,,,,,41004969
American Express,3 years,  Borrower added on 09/09/13 > I want to pay off higher interest credit cards. This will enable me to get out of debt and consolidate my payments.<br>,,,48.0,8755368
Social Welfare Examiner,10+ years,,,,,60344412
Patient Services Coordinator,8 years,,,,,61874363
,,,,,,12020672
Operations Supervisor,5 years,,,,,65586907
Sales Manager,10+ years,,,,,64576836
Subscriber Tickets Services Coordinator,7 years,,,,24.0,19927689
VP,5 years,,,,27.0,47477059
Digital Content Producer,1 year,,,,,9898586
Accounting,1 year,,,,78.0,40363409
Manager Quality Assurance,2 years,,,,8.0,45360008
Operations Manager,1 year,,,,13.0,19787842
Food Service Director,3 years,,,,30.0,58992736
Membership Executive,3 years,,,,,59702865
rn,10+ years,,,,30.0,60838875
Team Lead/FSO,2 years,,,,,11729587
Owner operator,3 years,,,,74.0,54535159
Nurse Practitioner,3 years,  Borrower added on 09/24/13 > I am going to consolidate higher interest credit card and other debt into one payment.<br>,,,,9034455
Manager,< 1 year,,,,,66732171
manager,10+ years,  Borrower added on 10/28/13 > Eliminate high interest debt and finish some small projects at home ex.new heating system<br>,,,,10329429
Advance Auto Parts,5 years,  Borrower added on 03/19/12 > Paying off multiple credit cards and consolidating into one monthly payment. Currently making extra monthly payments on cards but interest adds up too fast and wish to pay off much sooner.<br>,,,,1440888
HUMAN RESOURCE SPEC,4 years,,,,,67522277
Sales/Customer servicee,3 years,,,,36.0,28861955
Account Specialist ,2 years,,,,7.0,54586627
Driver,< 1 year,,,,36.0,36254748
Sterile Processing Supervisor,10+ years,,,,,45901091
,,  Borrower added on 07/29/11 > pay credit card off<br/>,,,,1041313
Account Executive,3 years,,,,20.0,55309431
Information assurance engineer,5 years,,,,63.0,61515031
Culvers,9 years,  Borrower added on 08/14/13 > Buying a used car and consolidating some credit card debt<br>,,,,8342061
Technician,3 years,,,,18.0,67691990
The Heritage at Lowman,10+ years,,,,33.0,5157104
COnsultant,6 years,,,,8.0,36967111
Director of Quality Assurance,2 years,,,,,41408875
Partner,6 years,,,,,55536204
Custodian,3 years,,,,,15930125
rn,10+ years,,,,36.0,15409403
Swanberg-Judkins Insurance,3 years,"  Borrower added on 04/08/13 > To consolidate debt and pay it off quicker, paying less in interest. It is very important to me to get back on track :)<br>",,,,5407071
Supervisor,10+ years,,,,,64826294
Network Engineer  ,3 years,,,,35.0,56550994
